s_adj,sex,age,unit,geo\time	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
NSA,T,Y25-74,PC,LU	2.6 	2.3 	2.3 	2.1 	2.2 	1.9 	1.8 	1.5 	2.1 	3.2 	4.1 	3.8 	3.8 i	3.3 	3.9 	4.1 	3.8 	4.1 	4.2 	5.1 	5.0 	5.3 
NSA,T,Y25-74,PC,LV	: 	: 	: 	: 	: 	12.6 	13.3 	12.2 i	11.4 	10.6 	10.6 	9.3 	6.1 	5.4 	6.9 	15.4 	17.4 	14.6 	13.6 	10.7 	10.0 	: 
NSA,T,Y25-74,PC,MT	: 	: 	: 	: 	: 	: 	4.7 	4.0 	4.6 	5.1 	4.7 	4.7 	4.8 	4.9 	4.8 	5.3 	5.6 	5.0 	4.9 	5.2 	4.8 	4.3 
NSA,T,Y25-74,PC,NL	6.4 	6.5 	6.0 	5.3 	4.0 	3.2 	2.8 	2.3 	2.9 i	3.9 	4.6 	4.8 	4.1 	3.2 	2.7 	3.2 	3.9 	4.0 	4.7 	6.1 	6.5 	6.1 
NSA,T,Y25-74,PC,PL	: 	: 	: 	9.3 	8.6 	11.1 	13.3 	14.9 	16.6 	16.4 	16.1 	15.2 	11.8 	8.1 	5.8 	6.7 i	8.1 	8.0 	8.5 	8.8 	7.7 	6.4 
NSA,T,Y25-74,PC,PT	5.7 	5.9 	5.9 	5.7 i	4.7 e	4.3 e	3.9 e	3.8 e	4.7 e	5.9 e	6.2 e	7.3 e	7.4 e	7.8 e	7.4 e	9.2 e	10.5 e	11.3 	13.9 	14.7 	12.5 	11.1 
NSA,T,Y25-74,PC,RO	: 	: 	: 	4.4 	4.7 	5.5 	6.2 	5.9 	6.5 	6.2 i	6.1 	5.6 	5.6 	4.9 	4.3 	5.2 	5.6 	5.7 	5.4 	5.7 	5.5 	5.6 
NSA,T,Y25-74,PC,SE	7.6 	7.4 	8.2 	8.6 	7.2 	6.0 	5.0 i	4.6 b	4.6 	5.2 	5.7 	5.7 	5.0 	4.3 	4.1 	5.9 	6.2 	5.5 	5.7 	5.7 	5.7 	5.6 
NSA,T,Y25-74,PC,SI	: 	: 	5.1 	5.2 	5.8 	5.8 	5.4 	4.8 	5.1 	5.5 	5.1 	5.4 	5.1 	4.2 	3.7 	5.1 	6.5 	7.5 	7.9 	9.2 	9.0 	8.6 
NSA,T,Y25-74,PC,SK	: 	: 	: 	: 	10.1 	12.9 	15.4 	15.8 	15.4 	15.0 	16.1 	14.4 	11.7 	10.1 	8.5 	10.5 	12.5 	11.8 i	12.2 	12.5 	11.8 	10.2 
NSA,T,Y25-74,PC,UK	7.9 	7.1 	6.6 	5.5 	4.9 	4.7 	4.2 	3.8 	3.9 	3.6 	3.3 	3.3 	3.8 	3.6 	3.9 	5.6 	5.8 	5.8 	5.7 	5.4 	4.4 	: 
NSA,T,Y_LT25,PC,AT	6.2 	5.9 	6.3 	6.7 	6.2 	5.4 	5.6 	6.2 	6.7 	7.6 i	10.5 	11.0 	9.8 	9.4 	8.5 	10.7 	9.5 	8.9 	9.4 	9.7 	10.3 	: 
NSA,T,Y_LT25,PC,BE	23.2 	22.9 	22.1 	22.0 	22.1 	21.0 	16.7 	16.8 	17.7 	21.8 	21.2 	21.5 	20.5 	18.8 	18.0 	21.9 	22.4 	18.7 	19.8 	23.7 	23.2 	21.2 
NSA,T,Y_LT25,PC,BG	: 	: 	: 	: 	: 	: 	33.7 	38.3 	35.2 	26.6 	24.3 	21.0 	18.3 	14.1 	11.9 	15.1 	21.9 i	25.0 	28.1 	28.4 	23.8 	21.5 
NSA,T,Y_LT25,PC,CY	: 	: 	: 	: 	: 	: 	9.9 	8.2 	8.0 	8.8 	10.2 i	13.9 	10.0 	10.2 	9.0 	13.8 	16.6 	22.4 	27.7 	38.9 	36.0 	33.2 
NSA,T,Y_LT25,PC,CZ	8.7 	7.8 	7.2 	8.6 	12.4 	17.0 	17.0 	16.6 	16.0 	17.6 	20.4 	19.3 	17.5 	10.7 	9.9 	16.6 	18.3 	18.1 	19.5 	18.9 	15.9 	12.6 
NSA,T,Y_LT25,PC,DE	8.9 	8.9 	10.0 	10.6 	9.7 	9.0 	8.7 	8.3 	9.8 	11.5 	13.7 	15.4 i	13.6 	11.8 	10.4 	11.1 	9.8 	8.5 	8.0 	7.8 	7.7 	7.3 
